,year,fuel,car_running,mileage,car
6971,2018,Petrol,less than 100000,more than 20,Maruti Swift AMT
242,2007,Petrol,less than 500000,0-15,Other
1507,2016,Petrol,less than 50000,more than 20,Maruti Wagon R
4162,2014,Diesel,less than 500000,more than 25,Honda City i
6727,2017,Petrol,less than 50000,more than 20,Maruti Wagon R
5781,2017,Diesel,less than 25000,more than 25,Tata Tiago 1.05
7381,2016,Diesel,less than 100000,more than 15,Mahindra XUV500 AT
7208,2005,Petrol,less than 100000,more than 15,Hyundai Santro Xing
1990,2018,Diesel,less than 50000,more than 15,Mercedes-Benz New C-Class
799,2018,Petrol,less than 100000,more than 20,Renault KWID 1.0
3724,2013,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
4784,2015,Petrol,less than 100000,more than 15,Honda Jazz 1.2
5724,2011,Diesel,less than 100000,more than 20,Ford Figo Diesel
562,2018,Petrol,less than 25000,more than 15,Ford Freestyle Titanium
4876,2011,Petrol,less than 500000,more than 15,Other
95,2013,Petrol,less than 100000,more than 15,Hyundai i20 Asta
1050,2017,Diesel,less than 100000,more than 20,Maruti Ertiga SHVS
5226,2009,Diesel,less than 500000,0-15,Other
2443,2020,Petrol,less than 10000,more than 15,Tata Nexon 1.2
2462,2013,Diesel,less than 50000,0-15,Other
6625,2018,Petrol,less than 50000,more than 20,Tata Tiago 1.2
461,2012,Diesel,less than 500000,0-15,Toyota Innova 2.5
314,2014,Diesel,less than 100000,more than 15,Other
6939,2011,Diesel,less than 100000,more than 20,Maruti Swift VDI
1620,2018,Petrol,less than 50000,more than 20,Hyundai Xcent 1.2
7311,2014,Diesel,less than 100000,more than 20,Hyundai Grand i10
1699,2009,Petrol,less than 100000,more than 15,Hyundai Santro Xing
6321,2018,Petrol,less than 10000,more than 15,Hyundai Grand i10
4092,2017,Petrol,less than 25000,more than 15,Hyundai Grand i10
5681,2000,Petrol,less than 500000,more than 15,Maruti Zen LXI
1930,2017,Diesel,less than 50000,more than 15,Other
7009,2014,Petrol,less than 25000,more than 20,Hyundai i10 Sportz
3987,2015,Diesel,less than 500000,0-15,Other
2600,2018,Diesel,less than 100000,more than 20,Volkswagen Polo 2015-2019
1177,2011,Diesel,less than 100000,more than 15,Tata Indica V2
3090,2018,Petrol,less than 100000,more than 20,Maruti Swift AMT
6863,2014,Petrol,less than 100000,more than 20,Maruti Alto 800
5476,2013,Diesel,less than 500000,0-15,Other
4945,2017,Diesel,less than 100000,more than 15,Jeep Compass 2.0
7847,2019,Petrol,less than 25000,more than 20,Maruti Swift Dzire
7920,2017,Diesel,less than 100000,more than 15,Other
1587,2015,Diesel,less than 100000,more than 20,Ford EcoSport 1.5
5521,2016,Diesel,less than 100000,more than 20,Skoda Rapid 1.5
2639,2013,Diesel,less than 100000,0-15,Toyota Innova 2.5
4593,2017,Diesel,less than 100000,more than 25,Other
117,2017,Petrol,less than 50000,more than 20,Maruti Swift Dzire
3426,2018,Diesel,less than 10000,more than 15,Volvo V40 D3
7851,2017,Diesel,less than 100000,more than 20,Maruti Ertiga SHVS
4412,2008,Petrol,less than 100000,more than 15,Hyundai Santro Xing
7999,2004,Petrol,less than 50000,more than 15,Maruti Alto LX
8051,2015,Petrol,less than 100000,more than 15,Honda City i
4803,2015,Petrol,less than 50000,more than 15,Other
5339,2013,Diesel,less than 100000,more than 15,Mahindra Bolero 2011-2019
1544,2017,Diesel,less than 100000,more than 15,Hyundai Creta 1.6
1996,2019,Petrol,less than 10000,more than 15,Other
1067,2020,Diesel,less than 10000,more than 15,Other
3156,2015,Diesel,less than 50000,more than 15,Mahindra Bolero 2011-2019
5849,2019,Diesel,less than 10000,more than 25,Maruti Swift Dzire
2869,2017,Diesel,less than 100000,more than 25,Maruti Swift Dzire
556,2017,Petrol,less than 50000,more than 15,Other
5772,2014,Diesel,less than 100000,more than 25,Other
5868,2012,Diesel,less than 500000,more than 20,Other
1002,2018,Diesel,less than 100000,more than 25,Maruti S-Cross 2017-2020
1176,2017,Petrol,less than 100000,more than 20,Hyundai EON Magna
7186,2016,Diesel,less than 50000,more than 15,Mahindra TUV 300
1012,2012,Diesel,less than 100000,more than 15,Ford Fiesta Classic
2244,2015,Petrol,less than 100000,more than 20,Maruti Alto 800
2591,2007,Petrol,less than 500000,0-15,Honda Civic 1.8
4798,2018,Diesel,less than 10000,more than 20,Tata Nexon 1.5
4495,2011,Diesel,less than 100000,more than 20,Maruti Swift VDI
1471,2014,Diesel,less than 50000,more than 20,Other
5814,2017,Petrol,less than 25000,more than 20,Other
5425,2010,Diesel,less than 100000,more than 15,Other
4521,2013,Diesel,less than 100000,more than 20,Maruti Swift Dzire
1346,2012,Diesel,less than 500000,more than 15,Renault Duster 110PS
7168,2012,Diesel,less than 500000,more than 15,Other
5668,2008,Diesel,less than 100000,more than 15,Tata Indica V2
953,2016,Diesel,less than 100000,more than 15,Renault Duster 85PS
788,2014,Petrol,less than 50000,more than 15,Maruti Swift Dzire
3348,2011,Petrol,less than 100000,more than 15,Other
5343,2011,Petrol,less than 50000,more than 20,Maruti Alto K10
2559,2009,Diesel,less than 500000,0-15,Chevrolet Tavera Neo
1191,2016,Diesel,less than 100000,more than 15,Mahindra Bolero 2011-2019
7034,2019,Petrol,less than 25000,more than 15,Honda Amaze VX
7772,2018,Petrol,less than 25000,more than 15,Hyundai Creta 1.6
3118,2018,Diesel,less than 100000,more than 20,Tata Zest Quadrajet
203,2016,CNG,less than 100000,more than 25,Maruti Wagon R
2626,2015,Diesel,less than 100000,more than 25,Maruti Swift Dzire
2758,2015,CNG,less than 100000,more than 20,Tata Indica V2
6708,2011,Diesel,less than 500000,more than 15,Mahindra XUV500 W8
4129,2018,Petrol,less than 50000,more than 20,Tata Tiago 1.2
1005,2013,Diesel,less than 500000,0-15,Toyota Innova 2.5
5342,2018,Diesel,less than 50000,more than 20,Other
3202,2014,Diesel,less than 100000,more than 20,Ford Figo Diesel
1424,2013,Diesel,less than 500000,0-15,Mahindra Xylo D4
435,2008,Diesel,less than 500000,0-15,Toyota Innova 2.5
6483,2019,Petrol,less than 25000,more than 15,Hyundai Elite i20
990,2014,Diesel,less than 100000,more than 20,Maruti Ertiga VDI
817,2008,Petrol,less than 500000,more than 15,Other
6230,2019,Petrol,less than 25000,more than 20,Maruti Swift AMT
3586,2018,Diesel,less than 50000,more than 20,Ford Freestyle Titanium
658,2018,Petrol,less than 100000,more than 20,Maruti Swift AMT
1329,2016,Diesel,less than 100000,more than 25,Maruti Swift Dzire
5432,2019,Diesel,less than 25000,more than 20,Hyundai Elite i20
636,2016,Petrol,less than 100000,more than 20,Maruti Wagon R
2468,2016,Diesel,less than 100000,more than 20,Maruti Ertiga SHVS
2323,2006,Petrol,less than 100000,more than 15,Maruti 800 Std
245,2013,Diesel,less than 100000,more than 20,Maruti Swift Dzire
4994,2012,Petrol,less than 50000,more than 15,Hyundai i20 Magna
7317,2011,Diesel,less than 500000,more than 20,Maruti Ritz VDi
6686,2012,Diesel,less than 50000,more than 20,Other
5257,2019,Diesel,less than 25000,0-15,Other
2806,2011,Petrol,less than 25000,more than 15,Maruti Alto LX
3380,2015,Diesel,less than 500000,more than 20,Other
7633,2010,Diesel,less than 500000,0-15,Chevrolet Tavera Neo
3457,2009,Petrol,less than 100000,more than 15,Chevrolet Spark 1.0
253,2015,Petrol,less than 500000,more than 20,Maruti Swift LXI
1114,2018,Diesel,less than 10000,more than 15,Volvo V40 D3
1151,2016,Petrol,less than 25000,0-15,Skoda Rapid 1.6
5976,2011,Diesel,less than 100000,more than 15,Ford Figo Diesel
1737,2018,Diesel,less than 50000,more than 15,Other
5191,2015,Petrol,less than 500000,more than 20,Maruti Wagon R
3060,2010,Petrol,less than 100000,more than 15,Hyundai Santro Xing
2619,2019,Diesel,less than 25000,more than 15,Other
6059,2016,Petrol,less than 50000,more than 15,Hyundai Creta 1.6
2818,2001,Petrol,less than 50000,more than 15,Maruti 800 Std
3368,2013,Petrol,less than 100000,more than 20,Hyundai EON Era
4068,2016,Diesel,less than 500000,more than 15,Hyundai Verna 1.6
3743,2015,Diesel,less than 50000,more than 20,Toyota Etios Liva
1752,2017,Diesel,less than 100000,more than 15,Mahindra XUV500 W10
2672,2013,Diesel,less than 100000,0-15,Toyota Innova 2.5
4425,2017,Petrol,less than 50000,more than 15,Toyota Etios VX
2016,2009,Diesel,less than 500000,0-15,Other
500,2016,Petrol,less than 50000,more than 15,Other
726,2011,Diesel,less than 500000,0-15,Other
5651,2012,Diesel,less than 500000,more than 20,Mahindra Verito 1.5
1691,2018,Petrol,less than 10000,more than 20,Datsun GO T
7801,2010,Diesel,less than 100000,more than 20,Other
1119,2019,Diesel,less than 25000,more than 15,Volvo XC40 D4
5156,2018,Diesel,less than 50000,more than 15,Other
2066,2013,Diesel,less than 500000,more than 20,Tata Manza Club
5813,2012,Petrol,less than 500000,0-15,Other
1875,2013,Diesel,less than 100000,more than 15,Tata Indigo CS
7473,2002,Petrol,less than 100000,more than 15,Other
3803,2015,Diesel,less than 100000,more than 15,Mahindra Scorpio 1.99
4644,2015,Petrol,less than 100000,more than 20,Maruti Alto 800
3074,2016,Diesel,less than 100000,more than 20,Tata Zest Quadrajet
5137,2018,Diesel,less than 50000,more than 25,Maruti Swift Dzire
6356,2011,Diesel,less than 100000,more than 20,Volkswagen Vento Diesel
1850,2017,Petrol,less than 50000,more than 20,Tata Tiago 1.2
507,2012,Petrol,less than 100000,more than 15,Ford Figo Petrol
5421,2017,Diesel,less than 100000,more than 20,Hyundai Creta 1.4
4200,2019,Petrol,less than 25000,0-15,Other
5887,2012,Diesel,less than 50000,more than 20,Hyundai i20 1.4
2518,2010,LPG,less than 100000,more than 25,Maruti Wagon R
4360,2005,Petrol,less than 500000,more than 15,Maruti Wagon R
3779,2017,Petrol,less than 50000,more than 15,Hyundai i20 1.2
3307,2017,Petrol,less than 25000,more than 15,Hyundai Grand i10
1021,2008,Petrol,less than 500000,more than 15,Honda City 1.5
5945,2015,Diesel,less than 50000,more than 20,Other
7449,2018,Petrol,less than 25000,more than 15,Tata Nexon 1.2
5002,2017,Petrol,less than 50000,more than 20,Maruti Ignis 1.2
5092,2013,Diesel,less than 100000,0-15,Toyota Innova 2.5
7429,2020,Petrol,less than 10000,more than 20,Maruti Swift LXI
5911,2015,Petrol,less than 50000,more than 15,Honda City i
2705,2013,Diesel,less than 100000,0-15,Other
7383,2017,Petrol,less than 100000,more than 15,Hyundai Grand i10
6605,2014,Diesel,less than 500000,more than 15,Renault Duster 110PS
3640,2011,Diesel,less than 500000,more than 20,Tata Indigo CS
7782,2015,Diesel,less than 100000,more than 15,Mahindra Scorpio 1.99
3277,2012,Diesel,less than 500000,more than 20,Other
6273,2018,Petrol,less than 50000,more than 15,Hyundai i20 Asta
285,2011,Diesel,less than 100000,0-15,Tata New Safari
2478,2012,Diesel,less than 500000,0-15,Toyota Innova 2.5
1225,2019,CNG,less than 25000,more than 20,Maruti Eeco CNG
4854,2017,Diesel,less than 50000,more than 25,Maruti Swift VDI
7912,2009,Petrol,less than 500000,more than 15,Other
481,2011,Petrol,less than 100000,more than 15,Maruti Wagon R
2701,2017,Petrol,less than 50000,more than 20,Hyundai EON Sportz
3066,2016,Diesel,less than 100000,more than 15,Mahindra XUV500 W10
4175,2006,Diesel,less than 100000,0-15,Mahindra Scorpio 2.6
942,2006,Petrol,less than 500000,more than 15,Maruti Zen LXI
565,2018,Diesel,less than 50000,more than 20,Other
8016,2013,Diesel,less than 500000,more than 20,Tata Indica Vista
488,2019,Diesel,less than 25000,more than 20,Other
104,2018,Petrol,less than 50000,more than 20,Maruti Baleno Zeta
4707,2015,Diesel,less than 25000,0-15,Other
7902,2014,Diesel,less than 500000,0-15,Toyota Innova 2.5
6934,2012,Diesel,less than 500000,more than 15,Tata Indica Vista
5234,2016,Petrol,less than 50000,more than 20,Maruti Wagon R
1464,2016,Diesel,less than 100000,more than 15,Mahindra Scorpio 1.99
3865,2010,Petrol,less than 500000,more than 15,Chevrolet Spark 1.0
3140,2015,Petrol,less than 100000,more than 20,Datsun GO T
4185,2010,Petrol,less than 100000,0-15,Toyota Corolla Altis
1816,2005,Diesel,less than 500000,0-15,Other
599,2015,Petrol,less than 500000,more than 20,Maruti Swift VXI
6572,2018,Diesel,less than 10000,more than 15,Volvo V40 D3
3240,2019,Diesel,less than 25000,0-15,Other
5722,2007,Diesel,less than 500000,0-15,Other
649,2015,Diesel,less than 500000,0-15,Tata Safari Storme
3603,2011,Diesel,less than 50000,more than 20,Hyundai Verna 1.6
6314,2018,Petrol,less than 100000,more than 20,Maruti Celerio VXI
1581,2018,Petrol,less than 25000,more than 15,Hyundai Grand i10
1958,2017,Petrol,less than 50000,more than 15,Honda City i
3956,2017,CNG,less than 100000,more than 25,Maruti Wagon R
7869,2017,Petrol,less than 50000,more than 15,Toyota Etios VX
1285,2011,Diesel,less than 100000,0-15,Tata Safari DICOR
7818,2012,Diesel,less than 500000,more than 15,Mahindra XUV500 W8
689,2013,Petrol,less than 100000,more than 15,Hyundai Santro Xing
3408,2017,Diesel,less than 10000,0-15,Jaguar XE 2016-2019
3167,2011,Petrol,less than 50000,more than 15,Tata Manza Aura
4753,2018,Diesel,less than 25000,more than 15,Other
4225,2019,Petrol,less than 10000,more than 20,Maruti Swift AMT
8046,2017,Diesel,less than 50000,more than 25,Other
7331,2018,Diesel,less than 25000,0-15,Toyota Innova Crysta
538,2015,Petrol,less than 100000,more than 15,Chevrolet Sail 1.2
639,2017,Diesel,less than 100000,more than 20,Other
6494,2011,Diesel,less than 100000,more than 20,Ford Figo Diesel
5871,2012,Diesel,less than 500000,0-15,Mahindra Scorpio LX
1786,2010,Diesel,less than 500000,0-15,Other
3315,2003,Petrol,less than 100000,0-15,Other
383,2017,Diesel,less than 100000,more than 20,Hyundai Grand i10
5188,2016,Diesel,less than 50000,more than 15,BMW 5 Series
4698,2014,Diesel,less than 100000,more than 25,Maruti Swift VDI
4245,2017,Petrol,less than 50000,more than 15,Toyota Etios VX
1358,2017,Petrol,less than 50000,more than 15,Hyundai i20 1.2
3699,2012,Diesel,less than 500000,more than 15,Toyota Etios Liva
1500,2007,Petrol,less than 500000,more than 15,Hyundai i10 Era
1542,2015,Petrol,less than 50000,more than 20,Other
2345,2011,Petrol,less than 100000,more than 15,Hyundai i20 1.2
6687,2006,Petrol,less than 500000,more than 15,Other
2959,2004,Petrol,less than 500000,more than 15,Other
3515,2008,Petrol,less than 500000,more than 15,Maruti Omni 8
7963,2018,Diesel,less than 25000,more than 20,Other
2625,2017,Petrol,less than 10000,more than 20,Maruti Alto K10
5790,2013,Diesel,less than 100000,0-15,Other
5898,2017,Petrol,less than 50000,more than 15,Toyota Etios Liva
7055,2013,Diesel,less than 100000,more than 15,Mahindra XUV500 W8
1123,2016,Petrol,less than 100000,more than 15,Honda Jazz VX
2753,2008,Petrol,less than 100000,more than 15,Hyundai Santro Xing
4639,2010,Petrol,less than 100000,more than 20,Maruti Alto K10
1293,2011,Diesel,less than 500000,more than 20,Ford Figo Diesel
4583,2014,Diesel,less than 100000,more than 25,Tata Indica V2
7275,2009,Petrol,less than 100000,more than 15,Other
2315,2014,Petrol,less than 50000,more than 15,Other
7283,2014,Diesel,less than 100000,more than 20,Hyundai i20 2015-2017
4519,2011,Diesel,less than 500000,more than 15,Other
3807,2005,Petrol,less than 50000,more than 15,Maruti Wagon R
3449,2016,Diesel,less than 100000,0-15,Toyota Innova Crysta
6908,2013,Diesel,less than 100000,more than 25,Chevrolet Beat Diesel
4055,2009,Diesel,less than 500000,0-15,Other
7558,2010,Diesel,less than 100000,more than 20,Hyundai i20 1.4
1141,2018,Diesel,less than 50000,more than 25,Maruti Baleno Alpha
4490,2015,Diesel,less than 100000,more than 20,Tata Zest Quadrajet
2277,2007,Diesel,less than 500000,more than 25,Maruti Swift VDI
271,2017,Diesel,less than 50000,more than 15,Mahindra Thar CRDe
813,2015,Petrol,less than 50000,more than 15,Hyundai i20 Asta
5052,2011,Petrol,less than 100000,more than 15,Toyota Etios VX
3242,2017,Petrol,less than 100000,0-15,Other
4678,2019,Diesel,less than 50000,more than 15,Jeep Compass 2.0
5559,2013,Diesel,less than 100000,more than 20,Other
7008,2018,Petrol,less than 25000,more than 20,Other
3766,2012,Diesel,less than 500000,more than 20,Toyota Etios Liva
6292,2018,Petrol,less than 50000,more than 15,Maruti Ertiga VXI
4123,2013,Diesel,less than 500000,0-15,Mahindra Xylo E4
1680,2014,Petrol,less than 50000,more than 15,Maruti Ritz VXi
57,2013,Diesel,less than 50000,more than 15,Other
6836,2016,Diesel,less than 50000,more than 15,Hyundai Creta 1.6
3487,2011,Diesel,less than 500000,more than 20,Volkswagen Vento Diesel
7051,2009,Diesel,less than 50000,more than 15,Tata Manza Aura
5507,2011,Diesel,less than 100000,more than 25,Tata Indica V2
7367,2017,Diesel,less than 100000,more than 25,Other
6363,2017,Diesel,less than 50000,more than 20,Maruti SX4 S
5695,2013,Diesel,less than 500000,more than 20,Maruti Swift Dzire
5275,2017,Diesel,less than 100000,more than 20,Hyundai i20 2015-2017
3924,2017,Diesel,less than 100000,more than 25,Other
1695,2016,Diesel,less than 100000,more than 15,Mahindra TUV 300
1936,2009,Petrol,less than 100000,more than 15,Maruti Wagon R
1419,2014,Petrol,less than 100000,more than 20,Hyundai EON Era
1250,2018,Diesel,less than 50000,more than 20,Maruti Vitara Brezza
3598,2018,Diesel,less than 50000,more than 25,Maruti S-Cross 2017-2020
1934,2017,Diesel,less than 100000,more than 25,Maruti Swift Dzire
261,2012,Diesel,less than 500000,more than 15,Maruti Swift Dzire
6757,2011,Diesel,less than 500000,more than 20,Hyundai Verna 1.6
7870,2018,Petrol,less than 100000,more than 20,Maruti Swift AMT
6145,2017,Petrol,less than 50000,more than 15,Hyundai i20 1.2
1706,2014,Diesel,less than 100000,more than 15,Mahindra XUV500 W6
5212,2013,Diesel,less than 500000,more than 20,Ford Figo Diesel
6970,2017,Petrol,less than 50000,more than 15,Toyota Etios VX
1976,2018,Petrol,less than 50000,more than 20,Maruti Celerio ZXI
440,2011,Diesel,less than 500000,more than 20,Mahindra Verito 1.5
1359,2013,Diesel,less than 500000,more than 20,Volkswagen Vento Diesel
2104,2015,Diesel,less than 500000,more than 20,Other
5557,2017,CNG,less than 50000,more than 20,Maruti Eeco CNG
619,2015,Petrol,less than 25000,more than 15,Other
1288,2004,Petrol,less than 500000,more than 15,Maruti Alto LX
7927,2018,Petrol,less than 50000,more than 15,Ford Freestyle Titanium
4748,2019,Diesel,less than 50000,more than 25,Maruti Swift Dzire
157,2014,Petrol,less than 50000,more than 15,Other
7043,2018,Diesel,less than 100000,more than 25,Hyundai Xcent 1.2
4139,2017,Diesel,less than 100000,more than 25,Ford Figo Aspire
2830,2013,Diesel,less than 100000,more than 20,Other
1075,2016,Diesel,less than 100000,0-15,Toyota Innova Crysta
6027,2019,Petrol,less than 10000,more than 15,Hyundai Elite i20
7195,2016,Diesel,less than 100000,more than 25,Honda City i
4376,2018,Diesel,less than 100000,more than 15,Tata Sumo Gold
6770,2013,Diesel,less than 500000,more than 20,Other
5187,2015,Diesel,less than 100000,more than 20,Renault Duster 85PS
2618,2011,CNG,less than 500000,more than 25,Maruti Wagon R
1165,2011,Diesel,less than 500000,0-15,Other
4278,2008,Diesel,less than 500000,0-15,Toyota Innova 2.5
4916,2008,Petrol,less than 100000,more than 15,Maruti Alto LXi
2777,2011,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
3261,2010,Petrol,less than 50000,more than 15,Maruti Zen Estilo
4996,2010,Petrol,less than 500000,more than 15,Other
173,2011,Diesel,less than 500000,more than 20,Ford Figo Diesel
4149,2009,Petrol,less than 500000,more than 15,Other
2419,2012,Diesel,less than 100000,more than 20,Hyundai Verna 1.6
1754,2011,Diesel,less than 500000,more than 20,Hyundai i20 1.4
2184,2009,Petrol,less than 100000,more than 15,Honda City 1.5
3235,2019,Petrol,less than 10000,more than 15,Honda Amaze S
2367,2012,Diesel,less than 500000,more than 15,Mahindra Bolero 2011-2019
1516,2018,Petrol,less than 25000,more than 20,Maruti Baleno Zeta
3544,2015,Diesel,less than 50000,more than 15,Mahindra XUV500 W6
2382,2012,Diesel,less than 500000,more than 20,Maruti Ritz LDi
211,2017,Petrol,less than 25000,more than 20,Maruti Swift VXI
7460,2013,Diesel,less than 500000,more than 15,Tata Indigo CS
628,2004,Petrol,less than 500000,0-15,Other
7262,2017,Diesel,less than 100000,more than 15,Other
410,2019,Petrol,less than 25000,more than 20,Lexus ES 300h
2394,2016,Diesel,less than 50000,more than 20,Maruti SX4 S
2493,2013,Diesel,less than 500000,more than 20,Maruti Swift VDI
1482,2012,Diesel,less than 500000,more than 15,Maruti Swift Dzire
883,2016,Diesel,less than 500000,0-15,Other
4024,2017,Diesel,less than 50000,more than 20,Hyundai i20 1.4
8002,2016,Diesel,less than 10000,more than 20,Other
3113,2018,Petrol,less than 100000,more than 15,Hyundai i20 1.2
6171,2016,Petrol,less than 100000,more than 15,Toyota Camry 2.5
4481,2009,Petrol,less than 500000,more than 15,Other
4684,2018,Diesel,less than 50000,more than 25,Other
906,2014,Diesel,less than 50000,more than 15,Other
1084,2018,Diesel,less than 50000,more than 25,Maruti Baleno Alpha
7126,2016,Diesel,less than 100000,more than 15,Mahindra TUV 300
4362,2017,Petrol,less than 25000,more than 15,Hyundai Grand i10
1109,2017,Diesel,less than 100000,more than 20,Hyundai Grand i10
1559,2018,Petrol,less than 25000,more than 15,Tata Nexon 1.2
6698,2013,Diesel,less than 100000,0-15,Toyota Innova 2.5
723,2012,Diesel,less than 500000,more than 15,Tata Indigo CS
4446,2017,Diesel,less than 50000,more than 20,Maruti Ertiga SHVS
3518,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
6840,2018,Petrol,less than 100000,more than 15,Hyundai i20 Active
5048,2017,Petrol,less than 25000,more than 20,Maruti Celerio ZXI
345,2019,Petrol,less than 25000,more than 15,Other
2819,2017,Diesel,less than 100000,more than 25,Ford Figo Aspire
6676,2020,Diesel,less than 100000,more than 20,Volkswagen Polo 1.5
3669,2010,Diesel,less than 500000,0-15,Toyota Innova 2.5
6734,2016,Diesel,less than 50000,more than 25,Other
6677,2017,Petrol,less than 50000,more than 20,Hyundai Xcent 1.2
2268,2017,Diesel,less than 500000,more than 20,Maruti Vitara Brezza
7849,2013,Petrol,less than 50000,more than 20,Maruti Alto K10
2142,2016,Diesel,less than 100000,more than 20,Ford EcoSport 1.5
7919,2011,Diesel,less than 100000,0-15,Other
5033,2014,Diesel,less than 50000,more than 15,Other
6213,2019,Diesel,less than 25000,more than 15,Volvo XC40 D4
792,2009,Petrol,less than 500000,0-15,Honda Civic 1.8
4391,2012,Diesel,less than 500000,more than 15,Other
4250,2019,Petrol,less than 10000,more than 15,Honda Amaze V
3994,2008,Petrol,less than 100000,more than 15,Maruti Wagon R
5917,2014,Diesel,less than 500000,0-15,Mahindra Xylo D4
45,2018,Diesel,less than 50000,more than 20,Maruti Vitara Brezza
7737,2010,Petrol,less than 100000,more than 15,Other
87,2015,Diesel,less than 100000,more than 15,Maruti Swift VDI
1744,2017,Diesel,less than 100000,more than 20,Volkswagen Ameo 1.5
2203,2018,Diesel,less than 100000,more than 20,Other
4160,2002,Petrol,less than 100000,more than 15,Maruti 800 Std
2527,2018,CNG,less than 100000,more than 25,Maruti Wagon R
2464,2005,Petrol,less than 100000,more than 15,Maruti Omni E
6729,2012,Diesel,less than 100000,more than 20,Maruti Swift VDI
2358,2011,Petrol,less than 100000,more than 15,Hyundai i10 Era
7670,2018,Petrol,less than 10000,more than 20,Tata Tiago 1.2
3080,2017,Diesel,less than 50000,more than 15,Jaguar XF 2.0
5516,2019,Diesel,less than 10000,more than 15,Other
8109,2018,Diesel,less than 25000,more than 20,Ford Freestyle Titanium
1081,2019,Diesel,less than 25000,more than 15,Volvo XC40 D4
6271,2016,Petrol,less than 50000,more than 20,Maruti Alto 800
4718,2019,Petrol,less than 10000,more than 20,Other
1505,2017,Petrol,less than 50000,more than 20,Maruti Alto K10
5034,2016,CNG,less than 50000,more than 25,Maruti Wagon R
6796,2014,Petrol,less than 50000,more than 20,Hyundai EON Magna
2859,2011,Diesel,less than 100000,more than 20,Hyundai i20 1.4
7364,2015,Diesel,less than 100000,more than 25,Other
3784,2015,Diesel,less than 50000,more than 20,Tata Zest Quadrajet
5935,2017,Diesel,less than 50000,more than 20,Other
1998,2011,Diesel,less than 500000,more than 15,Other
5470,2009,Petrol,less than 500000,more than 20,Hyundai i10 Magna
3332,2014,Diesel,less than 100000,more than 20,Maruti Ertiga ZDI
2210,2018,Petrol,less than 50000,more than 15,Hyundai Grand i10
6935,2006,Diesel,less than 500000,0-15,Other
5419,2011,Petrol,less than 100000,more than 20,Hyundai i10 Sportz
6254,2016,Petrol,less than 25000,more than 25,Renault KWID RXT
985,2014,Diesel,less than 100000,more than 15,Other
1069,2016,Diesel,less than 100000,more than 20,Skoda Rapid 1.5
1755,2012,Diesel,less than 500000,0-15,Toyota Innova 2.5
2154,2017,Diesel,less than 100000,more than 25,Other
5417,2012,Petrol,less than 50000,more than 20,Hyundai EON Sportz
4873,2018,Diesel,less than 50000,more than 20,Maruti Vitara Brezza
2533,2013,Diesel,less than 100000,more than 20,Other
5755,2016,Petrol,less than 50000,more than 20,Maruti Alto 800
2440,2009,Petrol,less than 100000,more than 20,Hyundai i10 Magna
4957,2015,Diesel,less than 50000,more than 25,Maruti Swift VDI
7563,2018,Petrol,less than 25000,more than 20,Other
3157,2012,Diesel,less than 100000,more than 20,Tata Indica Vista
4138,2017,Petrol,less than 25000,more than 20,Maruti Swift Dzire
3951,2011,Petrol,less than 50000,more than 15,Maruti Zen Estilo
7173,2015,Petrol,less than 50000,more than 15,Hyundai i20 Magna
4920,2006,Petrol,less than 100000,more than 15,Honda City 2017-2020
2032,2018,Diesel,less than 500000,more than 25,Tata Indica V2
2976,2015,Petrol,less than 500000,more than 15,Hyundai i20 Asta
996,2008,Diesel,less than 50000,more than 15,Tata Indica V2
4645,2007,Petrol,less than 100000,more than 15,Maruti 800 AC
5793,2008,CNG,less than 500000,0-15,Other
1760,2008,Petrol,less than 500000,0-15,Other
6403,2016,Diesel,less than 100000,more than 25,Ford Figo 1.5D
1698,2019,Petrol,less than 25000,more than 20,Maruti Swift LXI
7555,2014,Petrol,less than 100000,more than 20,Hyundai EON Era
7620,2012,Diesel,less than 100000,more than 15,Maruti Swift Dzire
6798,2011,Diesel,less than 100000,more than 20,Tata Indigo CR4
892,2015,Diesel,less than 500000,more than 20,Other
7094,2019,Diesel,less than 25000,more than 20,Hyundai Creta 1.4
7320,2011,Diesel,less than 500000,more than 20,Volkswagen Vento Diesel
4656,2010,Diesel,less than 500000,more than 15,Maruti Swift Dzire
3894,2017,Petrol,less than 50000,more than 20,Tata Tiago 1.2
135,2019,Diesel,less than 25000,0-15,Other
4672,2019,Diesel,less than 50000,more than 20,Volkswagen Polo 1.5
384,2019,Diesel,less than 10000,more than 15,BMW X4 M
5100,2016,Petrol,less than 25000,0-15,Skoda Rapid 1.6
3697,2010,Diesel,less than 500000,more than 20,Maruti Ritz VDi
5822,2015,Diesel,less than 50000,0-15,Toyota Innova 2.5
4086,2016,Diesel,less than 50000,0-15,Other
2706,2008,Petrol,less than 100000,more than 15,Ford Fiesta Classic
3706,2011,Petrol,less than 100000,more than 15,Hyundai i20 1.2
4097,2020,Diesel,less than 10000,more than 15,Other
4693,2016,Diesel,less than 100000,more than 15,Mahindra TUV 300
108,2010,Petrol,less than 500000,0-15,Other
1318,2015,Petrol,less than 100000,more than 15,Hyundai Verna 1.4
576,2011,Petrol,less than 100000,more than 15,Maruti Alto K10
5463,2014,Diesel,less than 100000,more than 20,Other
